date,product,quantity,price
1/01/1996,B,5,66
2/01/1996,D,7,68
3/01/1996,B,3,66
4/01/1996,B,3,66
5/01/1996,B,8,66
6/01/1996,D,8,68
7/01/1996,C,8,67
8/01/1996,B,7,66
9/01/1996,B,4,66
10/01/1996,E,9,69
11/01/1996,A,1,65
12/01/1996,A,7,65
13/01/1996,B,3,66
14/01/1996,A,9,65
15/01/1996,B,1,66
16/01/1996,E,1,69
17/01/1996,E,8,69
18/01/1996,A,8,65
19/01/1996,E,3,69
20/01/1996,F,9,70
21/01/1996,F,2,70
22/01/1996,D,10,68
23/01/1996,D,2,68
24/01/1996,E,3,69
25/01/1996,E,10,69
26/01/1996,A,10,65
27/01/1996,E,5,69
28/01/1996,E,3,69
29/01/1996,B,2,66
30/01/1996,B,6,66
31/01/1996,C,6,67
1/02/1996,B,5,66
2/02/1996,F,8,70
3/02/1996,C,7,67
4/02/1996,D,10,68
5/02/1996,D,3,68
6/02/1996,D,1,68
7/02/1996,B,6,66
8/02/1996,F,7,70
9/02/1996,E,6,69
10/02/1996,B,6,66
11/02/1996,C,3,67
12/02/1996,A,5,65
13/02/1996,D,8,68
14/02/1996,A,9,65
15/02/1996,B,7,66
16/02/1996,E,2,69
17/02/1996,C,7,67
18/02/1996,C,2,67
19/02/1996,E,7,69
20/02/1996,E,10,69
21/02/1996,A,2,65
22/02/1996,E,1,69
23/02/1996,B,6,66
24/02/1996,F,1,70
25/02/1996,E,7,69
26/02/1996,E,2,69
27/02/1996,A,9,65
28/02/1996,A,10,65
29/02/1996,F,9,70
1/03/1996,C,1,67
2/03/1996,E,1,69
3/03/1996,A,3,65
4/03/1996,A,1,65
5/03/1996,F,10,70
6/03/1996,C,4,67
7/03/1996,B,1,66
8/03/1996,F,1,70
9/03/1996,E,3,69
10/03/1996,D,9,68
11/03/1996,F,7,70
12/03/1996,D,4,68
13/03/1996,E,6,69
14/03/1996,D,8,68
15/03/1996,D,4,68
16/03/1996,C,8,67
17/03/1996,D,8,68
18/03/1996,A,7,65
19/03/1996,F,1,70
20/03/1996,E,7,69
21/03/1996,C,9,67
22/03/1996,E,4,69
23/03/1996,D,9,68
24/03/1996,E,2,69
25/03/1996,D,10,68
26/03/1996,B,1,66
27/03/1996,F,10,70
28/03/1996,C,10,67
29/03/1996,F,1,70
30/03/1996,A,10,65
31/03/1996,E,1,69
1/04/1996,C,6,67
2/04/1996,A,3,65
3/04/1996,B,10,66
4/04/1996,A,3,65
5/04/1996,A,8,65
6/04/1996,A,2,65
7/04/1996,F,10,70
8/04/1996,B,6,66
9/04/1996,A,6,65
10/04/1996,E,4,69
11/04/1996,A,10,65
12/04/1996,C,2,67
13/04/1996,D,10,68
14/04/1996,C,3,67
15/04/1996,E,5,69
16/04/1996,F,3,70
17/04/1996,F,5,70
18/04/1996,F,6,70
19/04/1996,D,6,68
20/04/1996,B,8,66
21/04/1996,D,2,68
22/04/1996,A,6,65
23/04/1996,B,5,66
24/04/1996,D,3,68
25/04/1996,F,9,70
26/04/1996,A,6,65
27/04/1996,E,7,69
28/04/1996,C,6,67
29/04/1996,D,8,68
30/04/1996,A,3,65
1/05/1996,C,9,67
2/05/1996,F,3,70
3/05/1996,B,3,66
4/05/1996,B,5,66
5/05/1996,D,3,68
6/05/1996,A,5,65
7/05/1996,A,3,65
8/05/1996,E,9,69
9/05/1996,C,9,67
10/05/1996,B,3,66
11/05/1996,B,2,66
12/05/1996,D,5,68
13/05/1996,A,1,65
14/05/1996,E,3,69
15/05/1996,B,6,66
16/05/1996,E,2,69
17/05/1996,E,10,69
18/05/1996,F,1,70
19/05/1996,D,4,68
20/05/1996,F,5,70
21/05/1996,A,4,65
22/05/1996,B,8,66
23/05/1996,F,10,70
24/05/1996,A,1,65
25/05/1996,A,6,65
26/05/1996,F,10,70
27/05/1996,E,5,69
28/05/1996,E,3,69
29/05/1996,F,6,70
30/05/1996,A,9,65
31/05/1996,B,2,66
1/06/1996,B,7,66
2/06/1996,A,9,65
3/06/1996,C,1,67
4/06/1996,B,6,66
5/06/1996,D,3,68
6/06/1996,A,7,65
7/06/1996,E,3,69
8/06/1996,A,6,65
9/06/1996,A,9,65
10/06/1996,D,9,68
11/06/1996,F,3,70
12/06/1996,B,8,66
13/06/1996,E,8,69
14/06/1996,B,7,66
15/06/1996,C,7,67
16/06/1996,F,9,70
17/06/1996,F,3,70
18/06/1996,F,10,70
19/06/1996,E,10,69
20/06/1996,C,2,67
21/06/1996,C,4,67
22/06/1996,E,6,69
23/06/1996,D,1,68
24/06/1996,E,5,69
25/06/1996,F,7,70
26/06/1996,B,2,66
27/06/1996,F,2,70
28/06/1996,A,8,65
29/06/1996,B,9,66
30/06/1996,A,8,65
1/07/1996,D,4,68
2/07/1996,E,1,69
3/07/1996,F,5,70
4/07/1996,F,2,70
5/07/1996,A,10,65
6/07/1996,C,2,67
7/07/1996,A,8,65
8/07/1996,D,6,68
9/07/1996,B,8,66
10/07/1996,D,7,68
11/07/1996,C,4,67
12/07/1996,E,6,69
13/07/1996,B,9,66
14/07/1996,E,4,69
15/07/1996,A,4,65
16/07/1996,D,6,68
17/07/1996,F,7,70
18/07/1996,A,3,65
19/07/1996,E,6,69
20/07/1996,E,10,69
21/07/1996,C,6,67
22/07/1996,F,8,70
23/07/1996,F,10,70
24/07/1996,E,7,69
25/07/1996,B,3,66
26/07/1996,B,2,66
27/07/1996,E,2,69
28/07/1996,B,8,66
29/07/1996,A,1,65
30/07/1996,C,10,67
31/07/1996,E,8,69
1/08/1996,C,2,67
2/08/1996,C,1,67
3/08/1996,D,6,68
4/08/1996,E,9,69
5/08/1996,F,6,70
6/08/1996,E,3,69
7/08/1996,B,10,66
8/08/1996,F,1,70
9/08/1996,B,3,66
10/08/1996,F,4,70
11/08/1996,A,8,65
12/08/1996,B,1,66
13/08/1996,B,8,66
14/08/1996,F,4,70
15/08/1996,B,8,66
16/08/1996,B,4,66
17/08/1996,B,7,66
18/08/1996,A,5,65
19/08/1996,A,2,65
20/08/1996,B,10,66
21/08/1996,F,3,70
22/08/1996,A,9,65
23/08/1996,D,9,68
24/08/1996,C,1,67
25/08/1996,D,7,68
26/08/1996,C,4,67
27/08/1996,E,3,69
28/08/1996,A,1,65
29/08/1996,D,7,68
30/08/1996,D,4,68
31/08/1996,A,3,65
1/09/1996,A,2,65
2/09/1996,B,2,66
3/09/1996,F,5,70
4/09/1996,C,10,67
5/09/1996,E,2,69
6/09/1996,A,4,65
7/09/1996,F,3,70
8/09/1996,F,2,70
9/09/1996,B,10,66
10/09/1996,F,1,70
11/09/1996,B,2,66
12/09/1996,E,1,69
13/09/1996,A,9,65
14/09/1996,D,10,68
15/09/1996,C,6,67
16/09/1996,B,7,66
17/09/1996,A,10,65
18/09/1996,E,6,69
19/09/1996,B,2,66
20/09/1996,B,1,66
21/09/1996,F,5,70
22/09/1996,F,7,70
23/09/1996,A,2,65
24/09/1996,E,6,69
25/09/1996,D,9,68
26/09/1996,B,10,66
27/09/1996,F,8,70
28/09/1996,E,4,69
29/09/1996,B,7,66
30/09/1996,A,6,65
1/10/1996,D,9,68
2/10/1996,A,1,65
3/10/1996,B,2,66
4/10/1996,F,2,70
5/10/1996,D,2,68
6/10/1996,B,6,66
7/10/1996,C,1,67
8/10/1996,B,3,66
9/10/1996,D,6,68
10/10/1996,E,6,69
11/10/1996,A,7,65
12/10/1996,E,4,69
13/10/1996,E,6,69
14/10/1996,C,5,67
15/10/1996,F,9,70
16/10/1996,B,9,66
17/10/1996,A,2,65
18/10/1996,E,3,69
19/10/1996,A,8,65
20/10/1996,A,7,65
21/10/1996,B,3,66
22/10/1996,D,5,68
23/10/1996,D,3,68
24/10/1996,A,1,65
25/10/1996,D,8,68
26/10/1996,C,6,67
27/10/1996,E,1,69
28/10/1996,F,10,70
29/10/1996,A,9,65
30/10/1996,D,5,68
31/10/1996,A,8,65
1/11/1996,E,2,69
2/11/1996,A,9,65
3/11/1996,C,2,67
4/11/1996,A,3,65
5/11/1996,E,7,69
6/11/1996,E,8,69
7/11/1996,F,3,70
8/11/1996,D,8,68
9/11/1996,A,1,65
10/11/1996,B,8,66
11/11/1996,E,2,69
12/11/1996,C,2,67
13/11/1996,F,5,70
14/11/1996,A,4,65
15/11/1996,A,8,65
16/11/1996,A,9,65
17/11/1996,F,2,70
18/11/1996,F,3,70
19/11/1996,E,3,69
20/11/1996,D,3,68
21/11/1996,A,3,65
